NCESSCH,USER_ID,cohort,cohort2,ZPR_1,FIDELmid,EFFmeanMID,EFFmeanFINAL,CoTeachStrat,keep3strat,keep4strat,FidelMax,female,REG_AgeRange,REG_Exper,REG_GPA,pctLunch,Enrollment,MID_Fidel1,MID_Fidel2,MID_Fidel3,MID_Fidel4,MID_Fidel5,MID_Fidel6,MID_Fidel7,MID_Fidel8,MID_Fidel9,MID_Fidel10,MID_Fidel11,MID_Fidel12,MID_Fidel13,MID_Fidel14,MID_Fidel15,MID_Fidel16,MID_Fidel17,MID_Fidel18,MID_Fidel19,MID_Fidel20,MID_Fidel21,MID_Fidel22,MID_Fidel23,MID_Fidel24,MID_Fidel25,MID_Fidel26,MID_Fidel27
421524000703,577,Semester 5,1,1.61763921064892,5,4,4,7,1,1,4.83333333333333,1,2,4,3.91,.532150776053215,451,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421521007441,Jes,Semester 3 Control,0,.702345623739102,5,3.66666666666667,3.66666666666667,0,1,1,5,1,4,2,3.7,.521052631578947,380,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
421503006867,232,Semester 2,1,-.121070949482745,4.63636363636364,3.33333333333333,3.83333333333333,4,1,1,4.58333333333333,1,1,2,3.8,.32463768115942,345,4,4,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5,4,5,4,4,4
421503006867,231,Semester 2,1,-1.01858188858199,4.54545454545455,3,3.41666666666667,3,1,0,4.5,1,1,1,3.65,.32463768115942,345,5,4,5,4,5,5,5,5,4,5,5,5,4,3,5,5,4,5,5,5,5,5,5,4,3,4,4
421503006867,509,Semester 5,1,.945246949983261,5,3.75,4,5,1,1,5,1,1,2,3.8,.32463768115942,345,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,5,3
421503005021,332,Semester 3,1,-.879412674566179,4.27272727272727,3.08333333333333,3.41666666666667,6,1,1,4.5,1,1,2,3.4,.323144104803493,229,4,4,4,4,4,5,4,4,5,4,5,5,5,5,5,5,4,5,4,4,4,5,5,5,4,5,4
421503005021,331,Semester 3,1,-1.7975418422774,3.90909090909091,2.66666666666667,3.41666666666667,4,1,1,4.25,1,2,1,3.9,.323144104803493,229,3,3,3,3,4,5,4,4,3,5,5,5,5,4,5,5,4,4,4,4,3,4,5,4,2,2,2
421503001715,Von,Semester 1 Control,0, ,-9, ,4,0,1,1, , ,-88,-88,-88,.292096219931271,873,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421503001711,404,Semester 4,1,.335093956654614,3.90909090909091,3.5,3.75,3,1,0,4.58333333333333,1,1,1,3.9,.226495726495726,234,4,3,3,4,4,4,5,4,3,3,5,4,4,4,5,3,3,4,5,5,5,5,5,5,3,4,2
421503001711,Lau,Semester 2 Control,0, ,-9, ,3.75,0,1,1, , ,-88,-88,-88,.226495726495726,234,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77, , , , , , , , , , , , 
421503000862,Joe,Semester 1 Control,0,-2.6505961618502,-9,2.33333333333333,3.5,0,1,1, ,1,2,1,3.9,.412935323383085,402,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421455002618,set,Semester 3 Control,0,.702345623739102,3.81818181818182,3.66666666666667,3.41666666666667,0,1,1,1.33333333333333,0,4,1,3.7,.248087431693989,915,2,2,2,2,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,5,4,5
421410001797,580,Semester 5,1,1.63838563309459,4.90909090909091,4,4,4,1,1,4.25,1,4,4,3.98,.0849315068493151,365,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,4,3
421410001776,Whi,Semester 2 Control,0, ,-9, ,3.66666666666667,0,1,1, , ,-88,-88,-88,.125964010282776,1167,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77, , , , , , , , , , , , 
421410001776,Chr,Semester 3 Control,0,-.0559961013443321,3.09090909090909,3.41666666666667,2.83333333333333,0,1,1,4.08333333333333,0,4,1,3.3,.125964010282776,1167,4,3,1,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3,4,3,4,4,4,3,1,2,1
421410001776,441,Semester 4,1,.426842776508891,5,3.58333333333333,4,5,1,1,4.58333333333333,1,2,2,3.49,.125964010282776,1167,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
421410001776,513,Semester 5,1,.115902827491221,4.81818181818182,3.41666666666667,3.75,3,1,0,4.91666666666667,1,2,3,3.88,.125964010282776,1167,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,4,4,5,5,5,5,5,4,1,2,1
421410001752,369,Semester 3,1,1.43104960247158,5,3.91666666666667,4,4,1,1,5,1,2,3,4,.234741784037559,426,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
421410001752,370,Semester 3,1,.15726747854887,4.81818181818182,3.5,3.75,4,1,1,4.91666666666667,1,1,2,3.3,.234741784037559,426,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5
