NCESSCH,USER_ID,TreatmentFlag,FIDELmid,EFFmeanMID,EFFmeanFINAL,FINAL_a,FINAL_b,FINAL_c,MID_a,MID_b,MID_c,REG_a,REG_b,REG_c,CollabDialogueFinal,CollabDialogueMid,FidelMax,REG_Gender,REG_AgeRange,REG_Exper,REG_GPA,ZPR_1,FIDxGRP
421410000122,575,1,3.72727272727273,2.33333333333333, , , , ,2.75,2.25,2,3,2.75,2.75, ,3, ,2,4,1,3.81,-2.5665607420346,3.72727272727273
421410000122,586,1,5,3.66666666666667,4,4,4,4,3.5,3.75,3.75,3.25,3.25,3.75,1,1,5,2,2,1,3.8,.855520247344866,5
421158007501,402,1,4.81818181818182,2.66666666666667,3.25,3.5,3,3.25,2.75,3,2.25,3.25,3.5,2.75,2.6,3.6,4.83333333333333,2,1,1,3.8,-1.71104049468973,4.81818181818182
421158007488,400,1,4.36363636363636,2.91666666666667,3.5,3.75,3.75,3,2.75,3.25,2.75,3.75,3.75,2.75,2,2.3,5,2,2,3,3.4,-1.06940030918108,4.36363636363636
421158007488,401,1,4.45454545454545,3.16666666666667,3.91666666666667,4,3.75,4,3.25,3.25,3,3,3.25,3.75,1,1.6,5,2,1,2,3.7,-.427760123672433,4.45454545454545
421158007488,492,1,4.18181818181818,2.83333333333333,3.25,3.5,3,3.25,3.25,2.5,2.75,2.75,3,2.5,3.8,3,4.08333333333333,2,1,1,3.8,-1.2832803710173,4.18181818181818
421158007488,487,1,1.63636363636364,3.16666666666667, , , , ,3.5,3,3,2.25,3,2.5, ,3.3, ,2,1,2,3.65,-.427760123672433,1.63636363636364
421158007488,263,1,3.45454545454545,2.91666666666667,2.91666666666667,2.75,3,3,3,3,2.75,2.5,2.25,3,2,2.7,4.16666666666667,2,1,1,3.7,-1.06940030918108,3.45454545454545
421158007488,228,1,4,3,2.83333333333333,3,3,2.5,3,3,3,3,2.5,2.75,2.3,2.3,3.5,2,2,1,3.7,-.855520247344866,4
421158007488,230,1,4.63636363636364,3.5,3.58333333333333,3.25,3.75,3.75,3.5,3.25,3.75,3,3,3,2.1,2,4.75,2,1,2,3.6,.427760123672433,4.63636363636364
421158007488,227,1,3.63636363636364,2.5,2.75,3.25,2.5,2.5,3,2,2.5,2.5,2.75,1.75,3.2,3.1,4.75,2,1,1,3.8,-2.13880061836217,3.63636363636364
421158007488,321,1,4,3.25,2.41666666666667,2,2.75,2.5,3.5,3.5,2.75,3.25,2.25,3,2.4,1.9,3.33333333333333,2,1,1,3.6,-.213880061836216,4
421158007488,322,1,3.72727272727273,3.08333333333333,3.58333333333333,3.5,3.25,4,3,3.25,3,3.25,3,2.75,2.1,2.5,4.41666666666667,2,2,1,3.9,-.641640185508649,3.72727272727273
421158007488,320,1,4.54545454545455,3.5,3.33333333333333,3.75,3.25,3,3.5,3.25,3.75,3.5,3,3,2.9,2.9,4.41666666666667,2,1,1,3.86,.427760123672433,4.54545454545455
421158007488,323,1,4,3.16666666666667,3.33333333333333,3.5,3.5,3,3,3.5,3,2.5,2.75,2.75,1.6,2.2,4.41666666666667,2,2,1,3.91,-.427760123672433,4
421158007488,283,1,4.09090909090909,3.5,3.66666666666667,4,3.5,3.5,3,4,3.5,2.75,3.5,3.5,2.2,2.8,3.66666666666667,2,1,4,3.5,.427760123672433,4.09090909090909
421131006330,439,1,4.45454545454545,3.41666666666667, , , , ,3.75,4,2.5,3.5,3.5,3, ,2.7, ,2,3,1,4,.213880061836217,4.45454545454545
421071006271,491,1,4.54545454545455,3.16666666666667, , , , ,3,2.75,3.75,3,2.25,2.75, ,2.7, ,2,1,3,3.5,-.427760123672433,4.54545454545455
420858001705,Kay,0,4.63636363636364,3.5,4,4,4,4,3,3.75,3.75, , , ,4.4,3.8, ,2,2,1,3.8,.427760123672433,0
420768004557,508,1,3.90909090909091,3.33333333333333, , , , ,3.5,3.75,2.75,2.75,3,3, ,1.7, ,1,2,2,3.1,7.15904574140093E-016,3.90909090909091
